В какие дни тренируешься? / Понедельник,В какие дни тренируешься? / Вторник,В какие дни тренируешься? / Среда,В какие дни тренируешься? / Четверг,В какие дни тренируешься? / Пятница,В какие дни тренируешься? / Суббота,В какие дни тренируешься? / Воскресенье,В какие дни тренируешься? / Не хожу на тренировки,"Двигательные навыки и видение поля / Ускорение с места вперед, в стороны и назад",Двигательные навыки и видение поля / Остановка мелкими шагами,Двигательные навыки и видение поля / Реакция,"Двигательные навыки и видение поля / Ловля диска, летящего на уровне туловища, стоя и в движении, одной и двумя руками",Двигательные навыки и видение поля / Смена хвата между форхендом и бэкхендом,Двигательные навыки и видение поля / Движение приставным шагом,Двигательные навыки и видение поля / Смена направления движения,Двигательные навыки и видение поля / Упражнения на координационной лестнице,Двигательные навыки и видение поля / Выполнение профилактических упражнений,Двигательные навыки и видение поля / Выполнение специальных беговых упражнений,Двигательные навыки и видение поля / Обманные движения при смене направления,Двигательные навыки и видение поля / Стандартные способы открытия в нападении,Двигательные навыки и видение поля / Передача диска в паре,Двигательные навыки и видение поля / Ловля верхних бросков одной рукой,Двигательные навыки и видение поля / Блокирование траектории при личной опеке,Двигательные навыки и видение поля / Смена и подстраховка при личной опеке,Двигательные навыки и видение поля / Позиционная (зонная) защита,Двигательные навыки и видение поля / Активный форс,Броски / Форхенд на 5 м сильной рукой,Броски / Кистевой бэкхенд на 3 м сильной рукой,Броски / Бэкхенд на 5 м сильной рукой,Броски / Кистевой бэкхенд на 3 м слабой рукой,Броски / Бэкхенд на 5 м слабой рукой,Броски / Скубер на 5 м сильной рукой,Броски / Скубер на 5 м слабой рукой,"Броски / Форхенд на 10 м сильной рукой с контролем траектории (прямой, I-O, O-I)","Броски / Бэкхенд на 10 м сильной рукой с контролем траектории (прямой, I-O, O-I)",Броски / Хаммер на 5 м сильной рукой,Броски / Хаммер на 5 м слабой рукой,Броски / Блейд на 5 м сильной рукой,Броски / Хаммер на 10 м сильной рукой,Броски / Блейд на 10 м сильной рукой,Броски / Скубер на 10 м сильной рукой,Броски / Форхенд и бэкхенд на 25 м с широким вышагиванием,Броски / Форхенд и бэкхенд на 50 м,"Броски / Хаммер, блейд и скубер на 25 м",Броски / Перевернутый бэкхенд на 25 м,Броски / Обводной бэкхенд на 25 м,Тактика / Зоны на игровом поле,Тактика / Роли игроков в атаке и защите,Тактика / Вертикальный стек,Тактика / Принципы личной защиты,Тактика / Горизонтальный стэк,Тактика / Диагональный стэк,Тактика / Разделенный стэк,Тактика / Смена и подстраховка в личной защите,Тактика / Атака и защита вблизи голевой зоны,Тактика / Стандартные схемы позиционной защиты,Инвентарь / Бутылочка для воды,Инвентарь / Темная и светлая спортивные майки,Инвентарь / Свой диск,Инвентарь / Баскетбольные или волейбольные кроссовки для зала,Инвентарь / Шиповки для улицы,Инвентарь / Коврик для упражнений на полу,Инвентарь / Ролл для МФР,Инвентарь / Тактический блокнот с записями,Инвентарь / Комплект темной и светлой командной формы,Инвентарь / Координационная лестница,Инвентарь / Мяч для развития реакции,Инвентарь / Спортивное питание,Игровой опыт / Участие в турнире,"Игровой опыт / Участие в трех турнирах, один из которых шляпный или пикапом за другую команду",Игровой опыт / Один турнир в роли капитана,Дух игры / Правила о счете задержки,Дух игры / Нарушения и несоблюдения маркера,Дух игры / Установка точки опоры,Дух игры / Жесты,Дух игры / Сертификат WFDF: basic,Дух игры / Ввод диска в игру и брик,Дух игры / Пробежка,Дух игры / Фол и стрип,Дух игры / Игра в роли игрового советника (game advisor),Дух игры / Сертификат WFDF: advanced,Дух игры / Три турнира со средней оценкой за Дух не ниже 10.0,Дух игры / Диаграммы принятия решений в зале и на улице,Дух игры / Актуальные трактовки правил (official annotations),Команда / В командном чате,Команда / В командной группе в соцсети,Команда / Участие в командной вечеринке,Команда / Страничка игрока на ultisport.ru,Команда / Страничка игрока на 175g.ru,Команда / Тренировка по ОФП или разминка для команды,Команда / Участие в командном мероприятии по развитию,Команда / Мини-проект для развития команды,Команда / Кураторство над новичком
1,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,0,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,3,2,10,10,10,10,10,10,10,10,9,10,8,10,10,10,10,8,6,6,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,0,2,3,3,3,3,3,2,2,3,2,2,2,3,2,2,3,3,2,10,10,10,10,10,10,10,10,10,10,8,10,8,8,8,8,3,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,3,3,4,4,4,3,4,3,4,3,4,4,3,4,2,2,3,3,10,10,10,3,3,10,3,9,9,10,3,10,10,10,10,8,6,10,9,9,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0
1,0,1,0,1,0,1,0,3,3,3,4,4,3,3,4,3,3,3,3,4,4,3,3,4,4,10,10,10,7,6,10,7,10,10,10,9,10,10,10,9,9,9,9,8,9,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,2,4,4,4,4,4,4,3,4,4,3,3,4,3,4,3,3,4,8,9,9,6,3,8,3,8,8,8,3,9,8,9,7,8,6,7,8,8,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0
1,1,1,1,0,1,1,0,3,4,4,3,3,3,4,3,3,4,2,4,4,3,3,3,3,3,10,9,10,9,8,9,7,10,8,10,8,10,10,10,9,9,7,9,7,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
1,0,1,0,1,0,1,0,3,2,2,2,2,3,2,4,2,3,2,3,3,1,2,2,3,3,8,8,8,7,8,6,3,8,9,8,3,9,8,8,3,9,7,7,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тренировки,Контрольные даты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Каждый день по 2 часа,В конце каждой недели в субботу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
